"Please provide a valid email address";"Please provide a valid email address"
"There are some problem in processing your request. Please try again after some time.";"There are some problem in processing your request. Please try again after some time."
"There are some problem in retriving your contacts. Please try again after some time.";"There are some problem in retriving your contacts. Please try again after some time."
"Please provide a valid email address";"Please provide a valid email address"
"Please enter your email address to proceed further.";"Please enter your email address to proceed further."
"You are being invited to join me at";"You are being invited to join me at"
"Please click the following link to signup:";"Please click the following link to signup:"
"Some problem occured while sending invitation to your followers. Please try again later.";"Some problem occured while sending invitation to your followers. Please try again later."
"ADMIN_ACTIVITY_TYPE_SHARE";"When a user (subject) shares content and activity feeds."
"_ACTIVITY_ACTIONTYPE_SHARE";"Shared"
"SEREPLY";"reply"
"Please wait...";"Please wait..."
"_SEAO_INVITES_STATISTICS_SENT";"Sent"
"_SEAO_INVITES_STATISTICS_REFERRED";"Referred"
"_SEAO_INVITES_STATISTICS_ALL";"Sent / Referred"
"%s PERSON_LIKE_THIS";"%s Person Likes This"
"Join";"Join"
"and check out";"and check out"
"Hello, Come and join me on this %1s and visit the ";"Hello, Come and join me on this %1s and visit the "
"I am sure you will like it.";"I am sure you will like it."
"%s PEOPLE_LIKE_THIS";"%s People Like This"
"People Who Follow This Wishlist";"People Who Follow This Wishlist"
"Friends Who Follow This Wishlist";"Friends Who Follow This Wishlist"
"See all";"See all"
"Found %1s Linkedin contacts you can promote this %2s to.";"Found %1s Linkedin contacts you can promote this %2s to."
"Select the contacts to invite to your %s from the list below.";"Select the contacts to invite to your %s from the list below."
"You are being invited to visit my %s at:";"You are being invited to visit my %s at:"
"You are being invited to join my %s at:";"You are being invited to join my %s at:"
"World";"World"
"Change My Location";"Change My Location"
"Location: ";"Location: "
"Please enter the valid location!";"Please enter the valid location!"
"Remove my location.";"Remove my location."
"Change Location";"Change Location"
"change my location";"change my location"
"Enter your location in the auto-suggest box. (e.g., CA or 94131, San Francisco)";"Enter your location in the auto-suggest box. (e.g., CA or 94131, San Francisco)"
"Oops! Something went wrong. Please try again later.";"Oops! Something went wrong. Please try again later."
"We've sent an email to %1s. To redeem your offer, take the email to %2s in print or in your phone and show it to the staff.";"We've sent an email to %1s. To redeem your offer, take the email to %2s in print or in your phone and show it to the staff."




#MISSING LANGUAGE
"Tagged By %s";"Tagged By %s"
"remove tag";"remove tag"
"Share";"Share"
"Share on Facebook";"Share on Facebook"
"Share on Twitter";"Share on Twitter"
"Share on LinkedIn";"Share on LinkedIn"
"Share on Google+";"Share on Google+"
"Share on %s";"Share on %s"
"You have successfully sent %s invite";"You have successfully sent %s invite";"You have successfully sent %s invites"
"Delete Location ?";"Delete Location ?"
